ID,HQ_TEQ,CR_TEQ,EPA_CR_TEQ,TEQ,TCDF_2378,TCDF_Total,TCDD_2378,TCDD_Total,PeCDF_12378,PeCDF_23478,PeCDF_Total,PeCDD_12378,PeCDD_Total,HxCDF_123478,HxCDF_123678,HxCDF_234678,HxCDF_123789,HxCDF_Total,HxCDD_123478,HxCDD_123678,HxCDD_123789,HxCDD_Total,HpCDF_1234678,HpCDF_1234789,HpCDF_Total,HpCDD_1234678,HpCDD_Total,OCDF,OCDD
CTMALL1,0.0293,3.08e-6,1.14e-6,1.1e-4,1.7e-4,0,0,0,0,9.900000000000001e-5,9.900000000000001e-5,0,0,0,0,2.0999999999999998e-4,1.5e-4,1.5e-4,2.3999999999999998e-4,0,0,2.3999999999999998e-4,0,0,0,2.6000000000000003e-4,2.6000000000000003e-4,0,9.5e-4
NJ_WODU_01_TN,0.048,5.04e-6,1.87e-6,1.7999999999999998e-4,1.4000000000000001e-4,2.8000000000000003e-4,0,0,0,1.1e-4,2.3e-4,1.1e-4,0,0,0,0,0,0,2e-4,1e-4,0,2e-4,0,0,0,0,1.4000000000000001e-4,0,4.1999999999999996e-4
NJ_WODU_02_AD,0.00507,5.32e-7,1.98e-7,1.9e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9e-4,0,0,1.9e-4,0,0,0,0,0,0,3.7e-4
NJ_WODU_03_AD,0.136,1.43e-5,5.3e-6,5.1e-4,3.2e-4,2.6000000000000003e-4,4.3e-4,4.3e-4,0,1.1e-4,2.3999999999999998e-4,0,0,0,0,0,0,2.3e-4,1.5e-4,0,0,0,0,0,0,1.1e-4,0,0,8.3e-4
NJ_WODU_03_LC,0.0195,2.04e-6,7.59e-7,7.3e-5,1.1999999999999999e-4,1.1999999999999999e-4,0,0,0,6.500000000000001e-5,0,0,0,0,0,8.9e-5,5.9999999999999995e-5,8.9e-5,1.6e-4,7.6e-5,0,3e-4,0,0,0,1.7999999999999998e-4,1.7999999999999998e-4,0,9.9e-4
NJ_WODU_11_AD,0.0195,2.04e-6,7.59e-7,7.3e-5,0,6.8e-4,0,0,0,1.1999999999999999e-4,0.0013,0,0,0,0,0,0,0,1.9e-4,1.4000000000000001e-4,0,0,0,0,0.0016,3.1e-4,3.1e-4,0,0.0015
NJ_AGWT_02_NJ,1.31,1.37e-4,5.09e-5,0.004900000000000001,0.0047,0.014,9.4e-4,0.0016,8.100000000000001e-4,0.0015,0.0063,0.0022,0.0039,4.3e-4,2.9e-4,8.3e-4,0,0.0016,0.0021000000000000003,0.0025,0.00093000000000000005,0.01,0,0,0,0.0040999999999999995,0.0064,0,0.005900000000000001
998-1,0.0533,5.6e-6,2.08e-6,2e-4,1.4000000000000001e-4,0.006,0,8.8e-4,0,6.900000000000001e-5,0,1.1999999999999999e-4,0,1.4000000000000001e-4,0,0,0,0,3.5e-4,0,0,3.5e-4,0,0,0,0,0,0,0.001
999-1,0.453,4.76e-5,1.77e-5,0.0017,0.0011,0.0028,4.6e-4,7.9e-4,3.1e-4,0.0012,0.0019,4.1e-4,0,2.0999999999999998e-4,3.2e-4,0.0015,0,0.0018,4.1999999999999996e-4,5.1e-4,0,4.1999999999999996e-4,0,0,0,0.001,0.001,0,0.0047
CTAGWT1,0.04,4.2e-6,1.56e-6,1.5e-4,4e-4,0.0028,0,7.9e-4,0,1.5e-4,7e-4,0,0,0,0,2.0999999999999998e-4,1.7e-4,6e-4,3.1e-4,0,0,3.1e-4,0,0,0,2.0999999999999998e-4,0,0,7.5e-4
210-1,0.00533,5.6e-7,2.08e-7,2e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7e-4,0,0,1.7e-4,0,0,0,2.5e-4,2.5e-4,0,0.0013
CTAGWT3,0.0131,1.37e-6,5.09e-7,4.9000000000000005e-5,2.3999999999999998e-4,0.0027,0,0.0012,0,0,0,0,0,0,0,0,0,0,2.3e-4,0,0,0,0,0,3.9e-4,1.6e-4,2.8000000000000003e-4,0,0.001
148-1,0.0267,2.8e-6,1.04e-6,1e-4,0,4.7999999999999996e-4,0,4.1e-4,0,3.4e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6000000000000003e-4,0,0,0
64-1,0.0048,5.04e-7,1.87e-7,1.7999999999999997e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7999999999999998e-4,0,0,0,0,0,0,0,0,0,0
150-1,0.0251,2.63e-6,9.77e-7,9.4e-5,7.5e-4,7.5e-4,0,0,0,0,0,0,0,0,0,1.9e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
103-1,0.00507,5.32e-7,1.98e-7,1.9e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9e-4,0,0,2.7e-4,0,0,0,0,0,0,5.3e-4
NJ_MALL_40_AD,13.9,0.00146,5.41e-4,0.052,0.012,0.021,0.045,0.045,0.0023,0.0054,0.012,0.002,0.0046,0.0032,0.0081,0.0039,0,0.019,5.899999999999999e-4,0.0013,0,0.0013,0,0,0,7.099999999999999e-4,7.099999999999999e-4,0,0.003
CTCAG02,0.008,8.4e-7,3.12e-7,2.9999999999999997e-5,0,0,0,0,0,0,0,0,0,0,0,1.4000000000000001e-4,0,0,1.6e-4,0,0,1.6e-4,0,0,0,0,0,0,3.8e-4
NJ_MALL_60_AD,0.373,3.92e-5,1.46e-5,0.0014,0.002,0.0044,3e-4,3e-4,0,9.599999999999999e-4,0.002,4.6e-4,4.6e-4,4.6e-4,0,0,0,0,0,3.5e-4,0,0,0,0,0,9.8e-4,0,0,0.0076
CTCAG01,0.00373,3.92e-7,1.46e-7,1.4e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1e-4,0,0,0,0,0,0,2.5e-4,2.5e-4,0,0.0014
6,0.00773,8.12e-7,3.01e-7,2.9e-5,1.4000000000000001e-4,1.4000000000000001e-4,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-4,0,0,1.5e-4,0,0,0,0,0,0,3.1e-4
