ID,Hg_test,dioxin_test,PCBOCP_test,PFAS_test,species,sex,state,ecoregion,sample_group,county,town,address,latitude,longitude,harvest_date,age,weight_(g),culmen_(mm),tarsus_(mm),head_length_(mm),Hg,TEQ,TCDF_2378,TCDF_Total,TCDD_2378,TCDD_Total,PeCDF_12378,PeCDF_23478,PeCDF_Total,PeCDD_12378,PeCDD_Total,HxCDF_123478,HxCDF_123678,HxCDF_234678,HxCDF_123789,HxCDF_Total,HxCDD_123478,HxCDD_123678,HxCDD_123789,HxCDD_Total,HpCDF_1234678,HpCDF_1234789,HpCDF_Total,HpCDD_1234678,HpCDD_Total,OCDF,OCDD,TPCBs,10PCB209,1PCB1,1PCB2,1PCB3,2PCB11,2PCB12+13,2PCB14,2PCB15,2PCB4+10,2PCB5+8,2PCB6,2PCB7+9,3PCB16+32,3PCB17,3PCB18,3PCB19,3PCB20+21+33,3PCB22,3PCB23+34,3PCB24+27,3PCB25,3PCB26,3PCB28,3PCB29,3PCB30,3PCB31,3PCB35,3PCB36,3PCB37,3PCB38,3PCB39,4PCB40,4PCB41+64+68+71,4PCB42+59,4PCB43+49,4PCB44,4PCB45,4PCB46,4PCB47+48+75,4PCB50,4PCB51,4PCB52+73,4PCB53,4PCB54,4PCB55,4PCB56+60,4PCB57,4PCB58,4PCB61+74,4PCB62+65,4PCB63,4PCB66+80,4PCB67,4PCB69,4PCB70+76,4PCB72,4PCB77,4PCB78,4PCB79,4PCB81,5PCB100,5PCB103,5PCB104,5PCB105+127,5PCB106+118,5PCB107+109,5PCB110,5PCB111+117,5PCB112,5PCB113,5PCB114,5PCB119,5PCB122,5PCB123,5PCB124,5PCB125,5PCB126,5PCB82,5PCB83+108,5PCB84,5PCB85+120,5PCB86+97,5PCB87+115+116,5PCB88+121,5PCB89+90+101,5PCB91,5PCB92,5PCB93+95,5PCB94,5PCB96,5PCB98+102,5PCB99,6PCB128,6PCB129,6PCB130,6PCB131+142,6PCB132+168,6PCB133,6PCB134+143,6PCB135+144,6PCB136,6PCB137,6PCB138+163+164,6PCB139+149,6PCB140,6PCB141,6PCB145,6PCB146,6PCB147,6PCB148,6PCB150,6PCB151,6PCB152,6PCB153,6PCB154,6PCB155,6PCB156,6PCB157,6PCB158+160,6PCB159,6PCB161,6PCB162,6PCB165,6PCB166,6PCB167,6PCB169,7PCB170+190,7PCB171,7PCB172+192,7PCB173,7PCB174+181,7PCB175,7PCB176,7PCB177,7PCB178,7PCB179,7PCB180,7PCB182+187,7PCB183,7PCB184,7PCB185,7PCB186,7PCB188,7PCB189,7PCB191,7PCB193,8PCB194,8PCB195,8PCB196+203,8PCB197,8PCB198,8PCB199,8PCB200,8PCB201,8PCB202,8PCB204,8PCB205,9PCB206,9PCB207,9PCB208,Aroclor 1016,Aroclor 1221,Aroclor 1232,Aroclor 1242,Aroclor 1248,Aroclor 1254,Aroclor 1260,DecaCB,Total DiCB,Total HeptaCB,Total HexaCB,Total MonoCB,Total NonaCB,Total OctaCB,Total PentaCB,Total TetraCB,Total TriCB,"2,4'-DDD","2,4'-DDE","2,4'-DDT","4,4'-DDD","4,4'-DDE","4,4'-DDT",Aldrin,"Chlordane, alpha (cis)","Chlordane, gamma (trans)","Chlordane, oxy-","HCH, alpha","HCH, beta","HCH, gamma",Heptachlor,Hexachlorobenzene,Mirex,"Nonachlor, cis-","Nonachlor, trans-",Dieldrin,Endosulphan Sulphate,Endrin,Endrin Aldehyde,Endrin Ketone,"HCH, delta",Heptachlor Epoxide,Methoxychlor,alpha-Endosulphan,beta-Endosulphan,11Cl-PF3OUdS,3:3 FTCA,4:2 FTS,5:3 FTCA,6:2 FTS,7:3 FTCA,8:2 FTS,9Cl-PF3ONS,ADONA,EtFOSAA,HFPO-DA,MeFOSAA,N-EtFOSA,N-EtFOSE,N-MeFOSA,N-MeFOSE,NFDHA,PFBA,PFBS,PFDA,PFDS,PFDoA,PFDoS,PFEESA,PFHpA,PFHpS,PFHxA,PFHxS,PFMBA,PFMPA,PFNA,PFNS,PFOA,PFOS,PFOSA,PFPeA,PFPeS,PFTeDA,PFTrDA,PFUnA
128-1,Y,Y,Y,Y,CAGO,M,PA,83,3,Erie,East Springfield,"State Gamelands No 314, Elmwood Home Road",41.9719465,-80.47351223,11/3/2021,Adult,Unknown,Unknown,Unknown,Unknown,0,4.1e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,2.98,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.062,0,0,0,0,0,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0.52,0.197,0.095,0,0,0,0,0,0,0,0.314,0,0.335,0,0,0.187,0,0,0,0,0,0.219,0,0,0,0,0,0,0,0,4.88,0.205,0,1.01,0.603,0,0.219,0.836,0.102,0,0,0,0,0,0.37,6.04,0.549,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131-1,Y,Y,Y,Y,MALL,M,PA,61/62,1,Lawrence,New Castle,"State Gamelands No 178, Valley Road",41.05404019,-80.31558411,10/17/2021,Adult,Unknown,Unknown,Unknown,Unknown,7.6,0.0012,0.0011,0.0024,3.7e-4,0,0,7.700000000000001e-4,7.700000000000001e-4,4.4e-4,3.5e-4,8.399999999999999e-4,0,0,0,0,0,0,0,0,0,0,0,6.8e-4,0,0,0.0019,145,0.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0,1.47,0,0.107,0.384,0,0,0,0,0.211,0,0,0,0,0,0,2.07,5.45,0.12,0,0.211,0,0,0.168,0,0,0,0,0,0.475,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,1.54,1.42,0.097,0.098,0,0.065,0.334,0,0,0,0.065,15,0.117,0,0,0,4.69,0,0,0,0,0,25.6,0,0,1.2,0.288,0.911,0.868,0,0.208,0,0.051,0.684,0,9.29,0.911,1.27,0,0,0.12,0,1.57,1.23,0,15,23.9,3.95,0,0,0,0,0.364,0.172,2.46,5.14,1.96,4.47,0.14,0.155,6.15,0,0.172,0.56,0,0.254,0.965,0.131,0.305,0,0,0,1.33,0,15.4,169,0.416,0,60.2,51.6,0,1.27,18.7,9.56,2.34,0.349,0,0,0,0.082,10.2,0.202,0,0.16,0,12.5,0,0,0,0,0.12399999999999996,0.193,0.292,9.07,0.355,0,0,0,0,0,0.632,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,12.9,0.105,0,0,0.98,0,0.259,0,0.153,0,0,0,0,0,0,0,0,0.381,0,0,3.08,0,0,0,0.164,0.252,0.16200000000000003
132-1,Y,Y,Y,Y,MALL,M,NY,60,3,Erie,East Concord,10004 Allen Road,42.57557005,-78.62546495,11/3/2021,Adult,Unknown,Unknown,Unknown,Unknown,7.7,6.3e-4,4e-4,6.2e-4,1.6e-4,1.6e-4,0,1.9e-4,1.9e-4,3.3e-4,0,3.7e-4,0,0,0,0,0,0,0,0,0,0,0,3.1e-4,3.1e-4,0,9.5e-4,11.9,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.271,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.202,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0.373,0,0,0,0,0,2.04,0,0,0.109,0.047,0.101,0,0,0,0,0,0.082,0,0.545,0.081,0.109,0,0,0,0,0.097,0.112,0,1.44,0.763,0.299,0,0,0,0,0.041,0,0.093,0.521,0.172,0.588,0,0,0.594,0,0,0.055,0,0,0.322,0,0.138,0,0,0,0,0,3.08,13.7,0.247,0,3.33,4.34,0,0.46,1.93,1.3,0.218,0.037,0,0,0,2.11,14.8,0.758,0,0,0,0.532,0,0,0.446,0,0.12099999999999995,0,0,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0.481,0,0,0,0,0,0
136-1,Y,Y,Y,Y,ABDU,Unknown,NY,83,2,Monroe,Wheatland,Scottsville,43.02357099,-77.73627261,11/4/2021,Adult,Unknown,Unknown,Unknown,Unknown,87.4,3.7e-4,4.4e-4,0.0012,0,2.1e-4,0,2.1e-4,2.1e-4,2.2e-4,0,0,0,0,0,0,3.9e-4,0,0,3.9e-4,0,0,0,0,0,0,7.700000000000001e-4,7.22,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0.097,0,0,0,0,0,0,0,0,0,0.723,0,0,0,0,0.2,0,0,0,0,0,1.32,0,0,0.072,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0.589,0.354,0.125,0,0,0,0,0,0,0.041,0.288,0,0.669,0,0,0.485,0,0,0,0,0,0.691,0,0.21,0,0,0,0.247,0,2.08,5.47,0.171,0,1.31,2.41,0,0.901,1.44,0.859,0.058,0.065,0,0,0,0.181,25.9,0.17,0,0,0,0.711,0,0.621,0,0,3.483,0.109,0.15,0.54,1.18,0,0,0,0,0,0.528,0,0,0,0,0,0,0,0,6.43,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.267,0,0,1.14,0,0,0,0,0.221,0
138-1,Y,Y,Y,Y,CAGO,Unknown,NY,67,2,Ulster,Hurley,Wynkoop Road,41.93211164,-74.0640972,11/5/2021,Adult,Unknown,Unknown,Unknown,Unknown,0,2.3e-4,0,0,0,0,0,1e-4,0,2e-4,0,0,0,0,0,3.9e-4,0,0,0,0,0,0,0,0,0,0,0,4.78,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0.218,0,0,0,0,0.108,0,0,0,0,0,1.16,0,0,0.096,0,0,0,0,0,0,0,0.062,0,0.341,0,0,0,0,0,0,0,0,0,0.726,0.245,0.161,0,0,0,0,0,0,0,0.308,0,0.269,0,0,0.159,0,0,0,0,0,0.22,0.118,0,0,0,0,0,0,0,7.37,0.234,0,1.47,1.74,0,0.22,0.736,0.372,0,0,0,0,0,0.704,7.99,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0.076,0,0,0,0,0,0
138-3,Y,Y,N,Y,CAGO,Unknown,NY,67,2,Ulster,Hurley,Wynkoop Road,41.93211164,-74.0640972,11/5/2021,Adult,Unknown,Unknown,Unknown,Unknown,0,1.6e-4,0,0,0,0,0,0,0,1.6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.200000000000001e-4,5.200000000000001e-4,0,0.0046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0
142-1,Y,Y,Y,Y,ABDU,Unknown,PA,61/62,2,Crawford,"Pine Township, Linseville",Linesville,41.62926518,-80.40906856,11/8/2021,Adult,1045,53,51.9,110.7,5.8,5.899999999999999e-4,3.9e-4,7e-4,1.9e-4,1.9e-4,0,1.9e-4,3.8e-4,2.9e-4,2.9e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.7e-4,3.7e-4,0,0,26.8,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0,0.066,0.094,0,0,0,0,0,0,0,0,0,0,0,0.846,2.6,0,0,0.154,0,0,0.111,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.343,0,0,0,0.068,0.11,0,0,0,0,1.79,0,0,0,0,1.21,0,0,0,0,0,6.38,0,0,0.402,0.107,0.124,0.083,0,0,0,0,0.187,0,1.38,0.132,0.211,0,0,0,0,0.141,0.207,0,0.742,2.2,0.57,0,0,0,0,0.076,0,0.258,1.17,0.329,0.877,0,0,1.51,0,0,0.152,0,0,0.634,0,0.212,0,0,0,0.266,0,4.7,16.2,0.338,0,5.92,10.8,0,0.846,4.04,4.18,0.621,0.07,0,0,0,0,12,0,0,0,0,0,0,0,0.282,0.629,0.416,0.13,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0,0,0.127,0,0,0,0,0,0
148-1,Y,Y,Y,Y,AGWT,M,PA,61/62,2,Crawford,"Pine Township, Linseville",Linesville area L,41.6265853,-80.40848118,11/12/2021,Adult,Unknown,Unknown,Unknown,Unknown,0,1e-4,0,4.8e-4,0,4.1e-4,0,3.4e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6000000000000003e-4,0,0,0,23,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0.294,0.935,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.279,0,0,0,0,0.046,0,0,0,0,1.87,0.05,0,0,0,0.461,0,0,0,0,0,4.12,0,0,0.216,0.073,0.112,0.066,0,0,0,0,0.143,0,1.18,0.14,0.122,0,0,0,0,0.073,0.089,0,3.31,1.72,0.689,0,0,0,0,0.083,0.055,0.198,1.04,0.307,1.56,0.06,0,1.29,0,0,0.089,0,0,1.1,0.138,0.35,0,0,0,0.209,0,2.21,31.1,0.514,0,7.5,7.36,0,1.59,4.35,1.45,0.199,0.055,0,0,0,0.217,8.47,0.09,0,0,0,0.721,0,0,0,0,0.265,0.278,0.036,0.126,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0.109,0,0,0,0,0.212,0,0,0,0,0,0,0,0,0,0,0.302,0,0,0.723,0,0,0,0,0,0
150-1,Y,Y,Y,Y,ABDU,M,NY,67,2,Ulster,Hurley,Wynkoop Road,41.92677972,-74.07320598,11/17/2021,Adult,Unknown,Unknown,Unknown,Unknown,61,9.4e-5,7.5e-4,7.5e-4,0,0,0,0,0,0,0,0,0,1.9e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0.207,0,0,0,0,0,0,0,0,0,0,0,0.3,0.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0.442,0.136,0,0,0,0,0,0,0,0,0,1.03,0.125,0,0,0,0.388,0,0,0,0,0,2.57,0,0,0.118,0,0,0,0,0,0,0,0.064,0,0.33,0,0,0,0,0,0,0.086,0.061,0,0.4,0.648,0.124,0,0,0,0,0.038,0,0.068,0.316,0.071,0.191,0,0,0.291,0,0,0,0,0,0.176,0,0,0,0,0,0.528,0,4.42,5.12,0.121,0,1.72,4.43,0,0.176,0.482,1.78,0.432,0.139,0,0,0,0,35.4,0.173,0,0,0,0.482,0,0,0.416,0,1.773,0.137,0.06,0.292,0.772,0,0,0,0,0,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0.248,0,0.088,0,0,0,0,0,0.35,0,0,1.13,0,0,2.82,0,0,0,0,0.296,0
158-1,N,Y,Y,Y,WODU,M,NY,59,1,Rensselaer,Castleton on Hudson,Staats Island Road,42.57592187,-73.74310701,11/5/2021,Adult,Unknown,Unknown,Unknown,Unknown,NA,1.4e-5,1.4e-4,0,0,0,0,0,1.2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5e-4,0,0,3.23,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0.063,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0.356,0,0,0,0,0.111,0,0,0,0,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0.387,0.206,0.067,0,0,0,0,0,0,0.039,0.147,0,0.272,0,0,0.23,0,0,0,0,0,0.198,0,0,0,0,0,0.239,0,0.88,3.62,0.111,0,0.809,1.13,0,0.198,0.502,0.378,0.034,0.063,0,0,0,0.601,6.11,0.168,0,0,0,0,0,0,0,0,0.098,0.37,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599,0,0.123,0,0.363,0,0,0,0,0,0,0,0,0.174,0,0,0.551,0,0,0,0.167,0.311,0
161-1,Y,N,N,Y,ABDU,Unknown,NY,60,3,Onondaga,Manlius,8500 US-20,42.92364,-75.9403,11/24/2021,Adult,Unknown,Unknown,Unknown,Unknown,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0.268,0,0.136,0,0,0,0,0,0.315,0,0,0.762,0,0,2.18,0,0.381,0,0,0.287,0
177-1,Y,Y,Y,Y,MALL,M,NY,63/84,1,Suffolk,"Amity Harbor, Babylon",Southeast Sand Island,40.6396141,-73.41084014,11/28/2021,Adult,Unknown,Unknown,Unknown,Unknown,41.3,7.9e-4,0,0,0,0,0,0,0,4.4e-4,0,0.003,0,0,0,0,2.1e-4,2.5e-4,0,0,0,0,0,5.4e-4,5.4e-4,0,8.2e-4,16.4,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0.065,0,0,0,0,0,0,0.181,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0.497,1.43,0,0.051,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.334,0.212,0,0,0,0,0,0,0,0,0,1.23,0.169,0,0,0,0.581,0,0,0,0,0,3.36,0,0,0.28,0,0.13,0,0,0,0,0,0.098,0,0.931,0.078,0.116,0,0.047,0,0,0.09,0.047,0,0.629,1.13,0.299,0,0,0,0,0.059,0,0.16,1.54,0.307,0.552,0,0,1.06,0,0,0,0,0,0.707,0,0.132,0,0,0,0.562,0,3.34,11.2,0.266,0,3.59,6.06,0,0.839,2.6,2.46,0.409,0.148,0,0,0,0.376,10.8,0.254,0,0,0,0.96,0,0,0,0,0.18899999999999997,0.115,0.116,0.352,1.6,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,1.73,0,0,0,0,0,1.35,0.338,1.27,0,0,0,0,0,0,0,0,0.375,0,0,4.03,0,0,0,0.432,0.55,0.772
184-1,Y,Y,Y,Y,MALL,M,PA,69/70,3,Beaver,Ellwood City,103 Pullman Station,40.83188241,-80.25149123,12/7/2021,Adult,Unknown,Unknown,Unknown,Unknown,13.8,0.0029,6.7e-4,5.600000000000001e-4,7e-4,0,0,5.1e-4,3.8e-4,9.7e-4,0,0.0069,0,2.1e-4,0,2.2e-4,9.6e-4,0.0012,5.600000000000001e-4,5.600000000000001e-4,0,0,0,0.0018,0,0,0.0023,36.6,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0,0,0,0,0,0.068,0,0,0.219,0,0,0.265,0,0,0,0,0,0,0,0,0,0,0,0.647,1.87,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0.135,0,0.063,0.074,0,0,0,0.513,0.411,0,0,0,0.076,0,0,0,0,0,3.13,0.366,0,0.058,0,0.703,0,0,0,0.077,0,6.45,0,0,0.441,0.126,0.194,0.097,0,0,0,0,0.259,0,1.89,0.176,0.154,0,0.092,0,0,0.196,0.141,0,4.66,2.5,0.752,0,0,0,0,0.107,0.062,0.322,1.73,0.475,2.18,0.042,0,2.09,0,0.052,0.181,0,0.092,1.31,0.125,0.323,0,0,0,0.847,0,5.13,43.8,0.596,0,11.1,12.3,0,1.76,6.84,3.17,0.636,0.223,0,0,0,0.204,11.1,0.357,0,0,0,1.93,0,0,0,0,0.32800000000000007,0.256,0.444,1.48,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0.802,0.425,0.613,0,0,0,0.113,0,0.288,0,0,0.716,0,0,8.82,0,0,0,0.527,0.641,0.588
184-2,Y,Y,Y,Y,MALL,F,PA,69/70,3,Beaver,Ellwood City,103 Pullman Station,40.83188241,-80.25149123,12/7/2021,Adult,Unknown,Unknown,Unknown,Unknown,16.9,0.0019,7.8e-4,0.0024,6.1e-4,9.1e-4,0,3.8e-4,0.0012,8.3e-4,8.3e-4,2.6000000000000003e-4,4e-4,1.5e-4,0,0.0011,7.199999999999999e-4,0.0011,2.7e-4,0.0011,1.9e-4,0,0,0.0022,0.0022,2.6000000000000003e-4,0.0029,30.5,0.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0.079,0,0,0.302,0,0,0.292,0,0,0,0,0,0,0,0,0,0,0,0.699,1.76,0.073,0.055,0.122,0,0,0,0,0,0,0,0,0.073,0,0,0,0.112,0,0,0,0.175,0,0.076,0.094,0,0,0,0.667,0.373,0,0.066,0,0.067,0.073,0,0.037,0,0.054,3.07,0.355,0,0.056,0,0.755,0.042,0,0,0.131,0,4.51,0,0,0.283,0.09,0.243,0.114,0,0,0,0,0.164,0,1.2,0.127,0.175,0,0.084,0,0,0.258,0.199,0,1.83,3.06,0.446,0,0,0,0,0.069,0,0.31,1.34,0.371,1.33,0,0,1.94,0,0.056,0.228,0,0.072,1.29,0,0.336,0,0,0,0.931,0,6.67,20.9,0.705,0,7.76,10.4,0,1.63,5.27,3.76,0.764,0.245,0,0,0,0.278,10.1,0.296,0,0.21,0,1.86,0,0,0,0,0.358,0.302,0.538,2,0.669,0,0,0,0,0,0.364,0,0,0,0,0,0,0,0,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0.371,0.657,0,0,0.151,0.101,0,0.236,0,0,1.08,0,0.234,11.2,0,0,0,0.48,0.735,0.926
