ID,HQ_TPCB,CR_TPCB,EPA_CR_TPCB,TPCBs,10PCB209,1PCB1,1PCB2,1PCB3,2PCB11,2PCB12+13,2PCB14,2PCB15,2PCB4+10,2PCB5+8,2PCB6,2PCB7+9,3PCB16+32,3PCB17,3PCB18,3PCB19,3PCB20+21+33,3PCB22,3PCB23+34,3PCB24+27,3PCB25,3PCB26,3PCB28,3PCB29,3PCB30,3PCB31,3PCB35,3PCB36,3PCB37,3PCB38,3PCB39,4PCB40,4PCB41+64+68+71,4PCB42+59,4PCB43+49,4PCB44,4PCB45,4PCB46,4PCB47+48+75,4PCB50,4PCB51,4PCB52+73,4PCB53,4PCB54,4PCB55,4PCB56+60,4PCB57,4PCB58,4PCB61+74,4PCB62+65,4PCB63,4PCB66+80,4PCB67,4PCB69,4PCB70+76,4PCB72,4PCB77,4PCB78,4PCB79,4PCB81,5PCB100,5PCB103,5PCB104,5PCB105+127,5PCB106+118,5PCB107+109,5PCB110,5PCB111+117,5PCB112,5PCB113,5PCB114,5PCB119,5PCB122,5PCB123,5PCB124,5PCB125,5PCB126,5PCB82,5PCB83+108,5PCB84,5PCB85+120,5PCB86+97,5PCB87+115+116,5PCB88+121,5PCB89+90+101,5PCB91,5PCB92,5PCB93+95,5PCB94,5PCB96,5PCB98+102,5PCB99,6PCB128,6PCB129,6PCB130,6PCB131+142,6PCB132+168,6PCB133,6PCB134+143,6PCB135+144,6PCB136,6PCB137,6PCB138+163+164,6PCB139+149,6PCB140,6PCB141,6PCB145,6PCB146,6PCB147,6PCB148,6PCB150,6PCB151,6PCB152,6PCB153,6PCB154,6PCB155,6PCB156,6PCB157,6PCB158+160,6PCB159,6PCB161,6PCB162,6PCB165,6PCB166,6PCB167,6PCB169,7PCB170+190,7PCB171,7PCB172+192,7PCB173,7PCB174+181,7PCB175,7PCB176,7PCB177,7PCB178,7PCB179,7PCB180,7PCB182+187,7PCB183,7PCB184,7PCB185,7PCB186,7PCB188,7PCB189,7PCB191,7PCB193,8PCB194,8PCB195,8PCB196+203,8PCB197,8PCB198,8PCB199,8PCB200,8PCB201,8PCB202,8PCB204,8PCB205,9PCB206,9PCB207,9PCB208,Aroclor 1016,Aroclor 1221,Aroclor 1232,Aroclor 1242,Aroclor 1248,Aroclor 1254,Aroclor 1260,DecaCB,Total DiCB,Total HeptaCB,Total HexaCB,Total MonoCB,Total NonaCB,Total OctaCB,Total PentaCB,Total TetraCB,Total TriCB
95-1,0.035,1.4e-6,5.2e-7,3.75,0.081,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0.152,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0.611,0,0,0,0,0.176,0,0,0,0,0,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0,0,0,0,0,0.076,0,0,0.232,0.346,0.073,0,0,0,0,0,0,0,0.221,0,0.164,0,0,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,3.1,0,0,0.938,1.68,0,0,0.281,0.746,0.104,0
96-2,0.0303,1.21e-6,4.5e-7,3.25,0.071,0,0,0,0,0,0,0,0,0,0,0.07400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.075,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.113,0,0,0,0,0,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0.312,0.202,0.078,0,0,0,0,0,0,0,0.106,0,0.146,0,0,0.115,0,0,0,0,0,0.153,0,0,0,0,0,0,0,1.43,3.15,0.071,0,0.727,1.38,0,0.153,0.261,0.573,0.086,0
98-1,0.00332,1.33e-7,4.93e-8,0.356,0,0,0,0,0,0,0,0,0,0,0,0.08600000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0.744,0,0,0.124,0.232,0,0,0,0,0,0
119-4,0.0392,1.57e-6,5.82e-7,4.2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.065,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0.116,0,0,0,0,0,0.927,0.07,0,0.046,0,0,0,0,0,0,0,0.041,0,0.214,0,0,0,0,0,0,0,0,0,0.611,0.427,0.102,0,0,0,0,0,0,0,0.244,0,0.319,0,0,0.3,0,0,0,0,0,0.263,0,0,0,0,0,0,0,0,5.56,0.14,0,1.35,1.63,0,0.263,0.619,0.194,0,0
122-1,0.00551,2.2e-7,8.18e-8,0.59,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.168,0.069,0,0,0,0,0,0,0,0,0.147,0,0.123,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0.053,0,0.307,0.23,0,0,0,0,0,0
123-1,0.396,1.58e-5,5.88e-6,42.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,1.1,3.94,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479,0.47,0,0,0,0.071,0.075,0,0,0,0,2.91,0,0,0,0,0.745,0,0,0,0,0,8.97,0,0,0.583,0.161,0.189,0.078,0,0,0,0,0.374,0,1.89,0.142,0.144,0,0,0,0,0.074,0.158,0,5.51,1.93,0.805,0,0,0,0,0.1,0.056,0.294,1.96,0.552,2.37,0.069,0,1.99,0,0,0.129,0,0.089,1.74,0.162,0.52,0,0,0,0,0,4.79,49.2,1.1,0,11.1,14.6,0,2.42,7.07,5.62,0.486,0
128-1,0.0278,1.11e-6,4.13e-7,2.98,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.062,0,0,0,0,0,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0.52,0.197,0.095,0,0,0,0,0,0,0,0.314,0,0.335,0,0,0.187,0,0,0,0,0,0.219,0,0,0,0,0,0,0,0,4.88,0.205,0,1.01,0.603,0,0.219,0.836,0.102,0,0
131-1,1.35,5.41e-5,2.01e-5,145,0.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0,1.47,0,0.107,0.384,0,0,0,0,0.211,0,0,0,0,0,0,2.07,5.45,0.12,0,0.211,0,0,0.168,0,0,0,0,0,0.475,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,1.54,1.42,0.097,0.098,0,0.065,0.334,0,0,0,0.065,15,0.117,0,0,0,4.69,0,0,0,0,0,25.6,0,0,1.2,0.288,0.911,0.868,0,0.208,0,0.051,0.684,0,9.29,0.911,1.27,0,0,0.12,0,1.57,1.23,0,15,23.9,3.95,0,0,0,0,0.364,0.172,2.46,5.14,1.96,4.47,0.14,0.155,6.15,0,0.172,0.56,0,0.254,0.965,0.131,0.305,0,0,0,1.33,0,15.4,169,0.416,0,60.2,51.6,0,1.27,18.7,9.56,2.34,0.349
132-1,0.111,4.44e-6,1.65e-6,11.9,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.271,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.202,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0.373,0,0,0,0,0,2.04,0,0,0.109,0.047,0.101,0,0,0,0,0,0.082,0,0.545,0.081,0.109,0,0,0,0,0.097,0.112,0,1.44,0.763,0.299,0,0,0,0,0.041,0,0.093,0.521,0.172,0.588,0,0,0.594,0,0,0.055,0,0,0.322,0,0.138,0,0,0,0,0,3.08,13.7,0.247,0,3.33,4.34,0,0.46,1.93,1.3,0.218,0.037
136-1,0.0674,2.7e-6,1e-6,7.22,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0.097,0,0,0,0,0,0,0,0,0,0.723,0,0,0,0,0.2,0,0,0,0,0,1.32,0,0,0.072,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0.589,0.354,0.125,0,0,0,0,0,0,0.041,0.288,0,0.669,0,0,0.485,0,0,0,0,0,0.691,0,0.21,0,0,0,0.247,0,2.08,5.47,0.171,0,1.31,2.41,0,0.901,1.44,0.859,0.058,0.065
