min,max,mean,median,confidence_interval,percentile_95
0,0.317,0.047121359223301,0.0245,0.033 - 0.061,0.2165
0,13.9,0.328620516346154,0.07465,0.051 - 0.607,0.64
0.00143,21.1,0.449098469387755,0.05005,0.017 - 0.881,1.2735
0.0004502,0.3973895,0.0326278183673469,0.010547555,0.021 - 0.045,0.10535464
0,4.59805,0.345425818691589,0.137483,0.237 - 0.454,1.3416
0.0216,37.1,1.25289462365591,0.464,0.44 - 2.066,2.404
