Contaminant,Min,Max,Median,Mean,DF,N_tested
Aroclor 1260,0,2410,5.19,49.8,96.9,98
"Chlordane, alpha (cis)",0,3.98,0,0.0869,12.2,98
"Chlordane, gamma (trans)",0,0.503,0,0.0132,5.1,98
"Chlordane, oxy-",0,43.6,0,1.16,42.9,98
DecaCB,0,16,0.224,0.619,75.5,98
Dieldrin,0,26.8,0.18,1.01,66.3,98
Endosulphan Sulphate,0,0,0,0,0,98
Endrin,0,0.588,0,0.006,1.02,98
Endrin Aldehyde,0,0,0,0,0,98
Endrin Ketone,0,0.519,0,0.0053,1.02,98
EtFOSAA,0,2.52,0,0.0394,8.41,107
"HCH, alpha",0,0,0,0,0,98
"HCH, beta",0,1.79,0,0.0412,5.1,98
"HCH, delta",0,0,0,0,0,98
"HCH, gamma",0,0.446,0,0.0441,19.4,98
HFPO-DA,0,0,0,0,0,107
Heptachlor,0,0.629,0,0.00751,2.04,98
Heptachlor Epoxide,0,25,0,0.573,36.7,98
Hexachlorobenzene,0,3.93,0.258,0.555,86.7,98
Hg,0,170,13.1,25.3,78.6,103
HpCDD_1234678,0,0.0041,3.55e-4,5.3e-4,73.1,104
HpCDD_Total,0,0.0064,2.8e-4,6.34e-4,58.7,104
HpCDF_1234678,0,0.0017,0,4.19e-4,46.2,104
HpCDF_1234789,0,0,0,0,0,104
HpCDF_Total,0,0.0044,0,3.71e-4,33.7,104
HxCDD_123478,0,0.0021,1.8e-4,2.19e-4,59.6,104
HxCDD_123678,0,0.0025,0,1.75e-4,39.4,104
HxCDD_123789,0,0.00093000000000000005,0,3.52e-5,11.5,104
HxCDD_Total,0,0.01,0,4.53e-4,43.3,104
HxCDF_123478,0,0.0069,1.3e-4,3.64e-4,57.7,104
HxCDF_123678,0,0.0081,0,2.22e-4,45.2,104
HxCDF_123789,0,3e-4,0,3.67e-5,20.2,104
HxCDF_234678,0,0.0071,1.6e-4,3.54e-4,55.8,104
HxCDF_Total,0,0.019,2.55e-4,8.58e-4,59.6,104
MeFOSAA,0,0.111,0,0.00104,0.935,107
Methoxychlor,0,0,0,0,0,98
Mirex,0,7.55,0.033,0.288,50,98
N-EtFOSA,0,0,0,0,0,107
N-EtFOSE,0,12.9,1.77,2.85,68.2,107
N-MeFOSA,0,0.162,0,0.0296,27.1,107
N-MeFOSE,0,0,0,0,0,107
NFDHA,0,0,0,0,0,107
"Nonachlor, cis-",0,11.5,0,0.256,44.9,98
"Nonachlor, trans-",0,41.6,0.187,1.17,80.6,98
OCDD,0,0.013,0.001,0.00147,82.7,104
OCDF,0,0.0013,0,1.37e-4,31.7,104
PFBA,0,1.14,0,0.0777,10.3,107
PFBS,0,0,0,0,0,107
PFDA,0,2.39,0.21,0.353,83.2,107
PFDS,0,1.53,0,0.0831,22.4,107
PFDoA,0,2.76,0.159,0.304,72.9,107
PFDoS,0,0,0,0,0,107
PFEESA,0,0,0,0,0,107
PFHpA,0,0.151,0,0.00285,2.8,107
PFHpS,0,0.44,0,0.0226,13.1,107
PFHxA,0,0.087,0,0.0016,1.87,107
PFHxS,0,6.72,0,0.156,31.8,107
PFMBA,0,0,0,0,0,107
PFMPA,0,0,0,0,0,107
PFNA,0,4.06,0.295,0.461,86.9,107
PFNS,0,0,0,0,0,107
PFOA,0,0.872,0,0.0575,25.2,107
PFOS,0,46.6,1.06,3.08,95.3,107
PFOSA,0,0.238,0,0.00318,1.87,107
PFPeA,0,0.381,0,0.00356,0.935,107
PFPeS,0,0.314,0,0.00388,1.87,107
PFTeDA,0,2.79,0.106,0.217,54.2,107
PFTrDA,0,2.58,0.221,0.336,63.6,107
PFUnA,0,3.43,0,0.297,49.5,107
PeCDD_12378,0,0.0022,0,2.34e-4,49,104
PeCDD_Total,0,0.0046,0,1.93e-4,22.1,104
PeCDF_12378,0,0.0023,0,9.66e-5,16.3,104
PeCDF_23478,0,0.0054,1.6e-4,3.3e-4,64.4,104
PeCDF_Total,0,0.013,2.35e-4,7.49e-4,60.6,104
TCDD_2378,0,0.045,0,6.71e-4,26.9,104
TCDD_Total,0,0.045,0,7.71e-4,38.5,104
TCDF_2378,0,0.012,1.7e-4,6.73e-4,59.6,104
TCDF_Total,0,0.023,4.7e-4,0.00167,68.3,104
TEQ,0,0.052,2.8e-4,0.00123,96.2,104
TPCBs,0.153,2260,5.36,48.1,100,98
Total DiCB,0,0.545,0,0.0136,6.12,98
Total HeptaCB,0,579,1.35,12.7,98,98
Total HexaCB,0.115,772,1.74,16.5,100,98
Total MonoCB,0,0,0,0,0,98
Total NonaCB,0,45.2,0.31,1.46,67.3,98
Total OctaCB,0,237,0.796,6.01,78.6,98
Total PentaCB,0,397,0.578,7.35,90.8,98
Total TetraCB,0,174,0.095,2.75,60.2,98
Total TriCB,0,42.6,0,0.722,44.9,98
alpha-Endosulphan,0,0,0,0,0,98
beta-Endosulphan,0,0,0,0,0,98
