,TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
6502,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB18,NA,N,U,ng/g,0.465,0.0451,WG87204,NA,37680-65-2,NA,NA,21-Oct-21,2,NA
6503,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB19,NA,N,U,ng/g,0.466,0.0517,WG87204,NA,38444-73-4,NA,NA,21-Oct-21,2,NA
6504,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB20+21+33,NA,N,C U,ng/g,0.458,0.0234,WG87204,NA,38444-84-7,NA,NA,21-Oct-21,2,NA
6505,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB22,NA,N,U,ng/g,0.458,0.0234,WG87204,NA,38444-85-8,NA,NA,21-Oct-21,2,NA
6506,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB23+34,NA,N,C U,ng/g,0.458,0.0269,WG87204,NA,55720-44-0,NA,NA,21-Oct-21,2,NA
6507,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB24+27,NA,N,C U,ng/g,0.458,0.0451,WG87204,NA,55702-45-9,NA,NA,21-Oct-21,2,NA
6508,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB25,NA,N,U,ng/g,0.458,0.0269,WG87204,NA,55712-37-3,NA,NA,21-Oct-21,2,NA
6509,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB26,NA,N,U,ng/g,0.458,0.0269,WG87204,NA,38444-81-4,NA,NA,21-Oct-21,2,NA
6510,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB28,NA,N,U,ng/g,0.464,0.0309,WG87204,NA,7012-37-5,NA,NA,21-Oct-21,2,NA
6511,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB29,NA,N,U,ng/g,0.458,0.0269,WG87204,NA,15862-07-4,NA,NA,21-Oct-21,2,NA
6512,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB30,NA,N,U,ng/g,0.458,0.0451,WG87204,NA,35693-92-6,NA,NA,21-Oct-21,2,NA
6513,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB31,NA,N,U,ng/g,0.458,0.0269,WG87204,NA,16606-02-3,NA,NA,21-Oct-21,2,NA
6514,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB35,0.217,Y,K J,ng/g,0.458,0.0274,WG87204,NA,37680-69-6,NA,NA,21-Oct-21,2,NA
6515,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB36,NA,N,U,ng/g,0.458,0.0234,WG87204,NA,38444-87-0,NA,NA,21-Oct-21,2,NA
6516,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB37,NA,N,U,ng/g,0.464,0.0274,WG87204,NA,38444-90-5,NA,NA,21-Oct-21,2,NA
6517,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB38,NA,N,U,ng/g,0.458,0.0274,WG87204,NA,53555-66-1,NA,NA,21-Oct-21,2,NA
6518,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB39,NA,N,U,ng/g,0.458,0.0234,WG87204,NA,38444-88-1,NA,NA,21-Oct-21,2,NA
6519,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB40,NA,N,U,ng/g,0.459,0.0763,WG87204,NA,38444-93-8,NA,NA,21-Oct-21,2,NA
6520,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB41+64+68+71,NA,N,C U,ng/g,0.459,0.0325,WG87204,NA,52663-59-9,NA,NA,21-Oct-21,2,NA
6521,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB42+59,NA,N,C U,ng/g,0.459,0.0325,WG87204,NA,36559-22-5,NA,NA,21-Oct-21,2,NA
6522,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB43+49,NA,N,C U,ng/g,0.464,0.0245,WG87204,NA,70362-46-8,NA,NA,21-Oct-21,2,NA
6523,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB44,NA,N,U,ng/g,0.464,0.0325,WG87204,NA,41464-39-5,NA,NA,21-Oct-21,2,NA
6524,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB45,NA,N,U,ng/g,0.459,0.0284,WG87204,NA,70362-45-7,NA,NA,21-Oct-21,2,NA
6525,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB46,NA,N,U,ng/g,0.459,0.0284,WG87204,NA,41464-47-5,NA,NA,21-Oct-21,2,NA
6526,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB47+48+75,NA,N,C U,ng/g,0.459,0.0284,WG87204,NA,2437-79-8,NA,NA,21-Oct-21,2,NA
6527,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB50,NA,N,U,ng/g,0.459,0.0236,WG87204,NA,62796-65-0,NA,NA,21-Oct-21,2,NA
6528,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB51,NA,N,U,ng/g,0.459,0.0284,WG87204,NA,68194-04-7,NA,NA,21-Oct-21,2,NA
6529,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB52+73,NA,N,C U,ng/g,0.46,0.0284,WG87204,NA,35693-99-3,NA,NA,21-Oct-21,2,NA
6530,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB53,NA,N,U,ng/g,0.459,0.0284,WG87204,NA,41464-41-9,NA,NA,21-Oct-21,2,NA
6531,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB54,NA,N,U,ng/g,0.463,0.0236,WG87204,NA,15968-05-5,NA,NA,21-Oct-21,2,NA
6532,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB55,NA,N,U,ng/g,0.459,0.0373,WG87204,NA,74338-24-2,NA,NA,21-Oct-21,2,NA
6533,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB56+60,NA,N,C U,ng/g,0.464,0.0373,WG87204,NA,41464-43-1,NA,NA,21-Oct-21,2,NA
6534,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB57,NA,N,U,ng/g,0.459,0.0763,WG87204,NA,70424-67-8,NA,NA,21-Oct-21,2,NA
6535,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB58,NA,N,U,ng/g,0.459,0.0763,WG87204,NA,41464-49-7,NA,NA,21-Oct-21,2,NA
