,TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
14488,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB20+21+33,NA,N,C U,ng/g,0.449,0.0634,WG87326,NA,38444-84-7,NA,NA,24-Dec-21,205-1,NA
14489,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB22,NA,N,U,ng/g,0.449,0.0634,WG87326,NA,38444-85-8,NA,NA,24-Dec-21,205-1,NA
14490,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB23+34,NA,N,C U,ng/g,0.449,0.0516,WG87326,NA,55720-44-0,NA,NA,24-Dec-21,205-1,NA
14491,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB24+27,NA,N,C U,ng/g,0.449,0.0868,WG87326,NA,55702-45-9,NA,NA,24-Dec-21,205-1,NA
14492,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB25,NA,N,U,ng/g,0.449,0.0516,WG87326,NA,55712-37-3,NA,NA,24-Dec-21,205-1,NA
14493,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB26,NA,N,U,ng/g,0.449,0.0516,WG87326,NA,38444-81-4,NA,NA,24-Dec-21,205-1,NA
14494,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB28,0.174,Y,J,ng/g,0.455,0.0594,WG87326,NA,7012-37-5,NA,NA,24-Dec-21,205-1,NA
14495,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB29,NA,N,U,ng/g,0.449,0.0516,WG87326,NA,15862-07-4,NA,NA,24-Dec-21,205-1,NA
14496,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB30,NA,N,U,ng/g,0.449,0.0868,WG87326,NA,35693-92-6,NA,NA,24-Dec-21,205-1,NA
14497,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB31,NA,N,U,ng/g,0.449,0.0516,WG87326,NA,16606-02-3,NA,NA,24-Dec-21,205-1,NA
14498,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB35,NA,N,U,ng/g,0.449,0.0743,WG87326,NA,37680-69-6,NA,NA,24-Dec-21,205-1,NA
14499,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB36,NA,N,U,ng/g,0.449,0.0634,WG87326,NA,38444-87-0,NA,NA,24-Dec-21,205-1,NA
14500,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB37,NA,N,U,ng/g,0.455,0.0743,WG87326,NA,38444-90-5,NA,NA,24-Dec-21,205-1,NA
14501,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB38,NA,N,U,ng/g,0.449,0.0743,WG87326,NA,53555-66-1,NA,NA,24-Dec-21,205-1,NA
14502,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,3PCB39,NA,N,U,ng/g,0.449,0.0634,WG87326,NA,38444-88-1,NA,NA,24-Dec-21,205-1,NA
14503,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB40,NA,N,U,ng/g,0.45,0.0872,WG87326,NA,38444-93-8,NA,NA,24-Dec-21,205-1,NA
14504,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB41+64+68+71,NA,N,C U,ng/g,0.45,0.0595,WG87326,NA,52663-59-9,NA,NA,24-Dec-21,205-1,NA
14505,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB42+59,NA,N,C U,ng/g,0.45,0.0595,WG87326,NA,36559-22-5,NA,NA,24-Dec-21,205-1,NA
14506,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB43+49,NA,N,C U,ng/g,0.454,0.0447,WG87326,NA,70362-46-8,NA,NA,24-Dec-21,205-1,NA
14507,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB44,NA,N,U,ng/g,0.454,0.0595,WG87326,NA,41464-39-5,NA,NA,24-Dec-21,205-1,NA
14508,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB45,NA,N,U,ng/g,0.45,0.052,WG87326,NA,70362-45-7,NA,NA,24-Dec-21,205-1,NA
14509,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB46,NA,N,U,ng/g,0.45,0.052,WG87326,NA,41464-47-5,NA,NA,24-Dec-21,205-1,NA
14510,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB47+48+75,NA,N,C U,ng/g,0.45,0.052,WG87326,NA,2437-79-8,NA,NA,24-Dec-21,205-1,NA
14511,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB50,NA,N,U,ng/g,0.45,0.0431,WG87326,NA,62796-65-0,NA,NA,24-Dec-21,205-1,NA
14512,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB51,NA,N,U,ng/g,0.45,0.052,WG87326,NA,68194-04-7,NA,NA,24-Dec-21,205-1,NA
14513,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB52+73,NA,N,C U,ng/g,0.451,0.052,WG87326,NA,35693-99-3,NA,NA,24-Dec-21,205-1,NA
14514,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB53,NA,N,U,ng/g,0.45,0.052,WG87326,NA,41464-41-9,NA,NA,24-Dec-21,205-1,NA
14515,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB54,NA,N,U,ng/g,0.454,0.0431,WG87326,NA,15968-05-5,NA,NA,24-Dec-21,205-1,NA
14516,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB55,NA,N,U,ng/g,0.45,0.0426,WG87326,NA,74338-24-2,NA,NA,24-Dec-21,205-1,NA
14517,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB56+60,NA,N,C U,ng/g,0.454,0.0426,WG87326,NA,41464-43-1,NA,NA,24-Dec-21,205-1,NA
14518,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB57,NA,N,U,ng/g,0.45,0.0872,WG87326,NA,70424-67-8,NA,NA,24-Dec-21,205-1,NA
14519,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB58,NA,N,U,ng/g,0.45,0.0872,WG87326,NA,41464-49-7,NA,NA,24-Dec-21,205-1,NA
14520,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB61+74,0.21,Y,C J,ng/g,0.45,0.0432,WG87326,NA,33284-53-6,NA,NA,24-Dec-21,205-1,NA
14521,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB62+65,NA,N,C U,ng/g,0.45,0.052,WG87326,NA,54230-22-7,NA,NA,24-Dec-21,205-1,NA
14522,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB63,NA,N,U,ng/g,0.45,0.0432,WG87326,NA,74472-34-7,NA,NA,24-Dec-21,205-1,NA
14523,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB66+80,0.219,Y,C J,ng/g,0.45,0.0432,WG87326,NA,32598-10-0,NA,NA,24-Dec-21,205-1,NA
14524,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB67,NA,N,U,ng/g,0.45,0.0872,WG87326,NA,73575-53-8,NA,NA,24-Dec-21,205-1,NA
14525,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB69,NA,N,U,ng/g,0.45,0.052,WG87326,NA,60233-24-1,NA,NA,24-Dec-21,205-1,NA
14526,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB70+76,NA,N,C U,ng/g,0.45,0.0432,WG87326,NA,32598-11-1,NA,NA,24-Dec-21,205-1,NA
14527,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB72,NA,N,U,ng/g,0.45,0.0595,WG87326,NA,41464-42-0,NA,NA,24-Dec-21,205-1,NA
14528,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB77,0.113,Y,K J,ng/g,0.45,0.0426,WG87326,NA,32598-13-3,NA,NA,24-Dec-21,205-1,NA
14529,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB78,NA,N,U,ng/g,0.45,0.0426,WG87326,NA,70362-49-1,NA,NA,24-Dec-21,205-1,NA
14530,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB79,NA,N,U,ng/g,0.45,0.0426,WG87326,NA,41464-48-6,NA,NA,24-Dec-21,205-1,NA
14531,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,4PCB81,NA,N,U,ng/g,0.45,0.0426,WG87326,NA,70362-50-4,NA,NA,24-Dec-21,205-1,NA
14532,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB82,NA,N,U,ng/g,0.45,0.108,WG87326,NA,52663-62-4,NA,NA,24-Dec-21,205-1,NA
14533,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB83+108,NA,N,C U,ng/g,0.45,0.0728,WG87326,NA,60145-20-2,NA,NA,24-Dec-21,205-1,NA
14534,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB84,NA,N,U,ng/g,0.45,0.0657,WG87326,NA,52663-60-2,NA,NA,24-Dec-21,205-1,NA
14535,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB85+120,NA,N,C U,ng/g,0.45,0.108,WG87326,NA,65510-45-4,NA,NA,24-Dec-21,205-1,NA
14536,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB86+97,NA,N,C U,ng/g,0.45,0.108,WG87326,NA,55312-69-1,NA,NA,24-Dec-21,205-1,NA
14537,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB87+115+116,NA,N,C U,ng/g,0.456,0.108,WG87326,NA,38380-02-8,NA,NA,24-Dec-21,205-1,NA
14538,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB88+121,NA,N,C U,ng/g,0.45,0.0712,WG87326,NA,55215-17-3,NA,NA,24-Dec-21,205-1,NA
14539,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB89+90+101,NA,N,C U,ng/g,0.45,0.0657,WG87326,NA,73575-57-2,NA,NA,24-Dec-21,205-1,NA
14540,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB91,NA,N,U,ng/g,0.45,0.0712,WG87326,NA,68194-05-8,NA,NA,24-Dec-21,205-1,NA
14541,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB92,NA,N,U,ng/g,0.45,0.0657,WG87326,NA,52663-61-3,NA,NA,24-Dec-21,205-1,NA
14542,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB93+95,NA,N,C U,ng/g,0.453,0.0712,WG87326,NA,73575-56-1,NA,NA,24-Dec-21,205-1,NA
14543,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB94,NA,N,U,ng/g,0.45,0.0712,WG87326,NA,73575-55-0,NA,NA,24-Dec-21,205-1,NA
14544,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB96,NA,N,U,ng/g,0.45,0.0712,WG87326,NA,73575-54-9,NA,NA,24-Dec-21,205-1,NA
14545,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB98+102,NA,N,C U,ng/g,0.45,0.0712,WG87326,NA,60233-25-2,NA,NA,24-Dec-21,205-1,NA
14546,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB99,0.56,Y,NA,ng/g,0.452,0.0605,WG87326,NA,38380-01-7,NA,NA,24-Dec-21,205-1,NA
14547,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB100,NA,N,U,ng/g,0.45,0.0712,WG87326,NA,39485-83-1,NA,NA,24-Dec-21,205-1,NA
14548,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB103,NA,N,U,ng/g,0.45,0.0712,WG87326,NA,60145-21-3,NA,NA,24-Dec-21,205-1,NA
14549,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB104,NA,N,U,ng/g,0.45,0.0487,WG87326,NA,56558-16-8,NA,NA,24-Dec-21,205-1,NA
14550,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB105+127,0.822,Y,C,ng/g,0.45,0.0733,WG87326,NA,32598-14-4,NA,NA,24-Dec-21,205-1,NA
14551,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB106+118,1.52,Y,C,ng/g,0.456,0.069,WG87326,NA,70424-69-0,NA,NA,24-Dec-21,205-1,NA
14552,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB107+109,0.124,Y,C J,ng/g,0.45,0.0733,WG87326,NA,70424-68-9,NA,NA,24-Dec-21,205-1,NA
14553,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB110,NA,N,U,ng/g,0.454,0.0733,WG87326,NA,38380-03-9,NA,NA,24-Dec-21,205-1,NA
14554,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB111+117,NA,N,C U,ng/g,0.45,0.108,WG87326,NA,39635-32-0,NA,NA,24-Dec-21,205-1,NA
14555,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB112,NA,N,U,ng/g,0.45,0.0728,WG87326,NA,74472-36-9,NA,NA,24-Dec-21,205-1,NA
14556,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB113,NA,N,U,ng/g,0.45,0.0657,WG87326,NA,68194-10-5,NA,NA,24-Dec-21,205-1,NA
14557,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB114,NA,N,U,ng/g,0.456,0.0743,WG87326,NA,74472-37-0,NA,NA,24-Dec-21,205-1,NA
14558,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB119,NA,N,U,ng/g,0.45,0.0605,WG87326,NA,56558-17-9,NA,NA,24-Dec-21,205-1,NA
14559,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB122,NA,N,U,ng/g,0.45,0.0743,WG87326,NA,76842-07-4,NA,NA,24-Dec-21,205-1,NA
14560,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB123,NA,N,U,ng/g,0.45,0.069,WG87326,NA,65510-44-3,NA,NA,24-Dec-21,205-1,NA
14561,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB124,NA,N,U,ng/g,0.45,0.0733,WG87326,NA,70424-70-3,NA,NA,24-Dec-21,205-1,NA
14562,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB125,NA,N,U,ng/g,0.45,0.108,WG87326,NA,74472-39-2,NA,NA,24-Dec-21,205-1,NA
14563,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,5PCB126,NA,N,U,ng/g,0.454,0.0758,WG87326,NA,57465-28-8,NA,NA,24-Dec-21,205-1,NA
14564,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB128,0.481,Y,NA,ng/g,0.449,0.0328,WG87326,NA,38380-07-3,NA,NA,24-Dec-21,205-1,NA
14565,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB129,NA,N,U,ng/g,0.449,0.0328,WG87326,NA,55215-18-4,NA,NA,24-Dec-21,205-1,NA
14566,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB130,0.073,Y,K J,ng/g,0.449,0.0328,WG87326,NA,52663-66-8,NA,NA,24-Dec-21,205-1,NA
14567,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB131+142,NA,N,C U,ng/g,0.449,0.099,WG87326,NA,61798-70-7,NA,NA,24-Dec-21,205-1,NA
14568,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB132+168,NA,N,C U,ng/g,0.449,0.0293,WG87326,NA,38380-05-1,NA,NA,24-Dec-21,205-1,NA
14569,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB133,NA,N,U,ng/g,0.449,0.099,WG87326,NA,35694-04-3,NA,NA,24-Dec-21,205-1,NA
14570,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB134+143,NA,N,C U,ng/g,0.449,0.099,WG87326,NA,52704-70-8,NA,NA,24-Dec-21,205-1,NA
14571,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB135+144,NA,N,C U,ng/g,0.449,0.099,WG87326,NA,52744-13-5,NA,NA,24-Dec-21,205-1,NA
14572,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB136,NA,N,U,ng/g,0.449,0.0419,WG87326,NA,38411-22-2,NA,NA,24-Dec-21,205-1,NA
14573,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB137,0.046,Y,J,ng/g,0.449,0.0328,WG87326,NA,35694-06-5,NA,NA,24-Dec-21,205-1,NA
14574,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB138+163+164,2.44,Y,C,ng/g,0.451,0.0328,WG87326,NA,35065-28-2,NA,NA,24-Dec-21,205-1,NA
14575,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB139+149,0.146,Y,C J,ng/g,0.455,0.099,WG87326,NA,56030-56-9,NA,NA,24-Dec-21,205-1,NA
14576,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB140,NA,N,U,ng/g,0.449,0.099,WG87326,NA,59291-64-4,NA,NA,24-Dec-21,205-1,NA
14577,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB141,NA,N,U,ng/g,0.449,0.0328,WG87326,NA,52712-04-6,NA,NA,24-Dec-21,205-1,NA
14578,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB145,NA,N,U,ng/g,0.449,0.0419,WG87326,NA,74472-40-5,NA,NA,24-Dec-21,205-1,NA
14579,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB146,0.449,Y,NA,ng/g,0.449,0.0912,WG87326,NA,51908-16-8,NA,NA,24-Dec-21,205-1,NA
14580,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB147,NA,N,U,ng/g,0.449,0.099,WG87326,NA,68194-13-8,NA,NA,24-Dec-21,205-1,NA
14581,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB148,NA,N,U,ng/g,0.449,0.0419,WG87326,NA,74472-41-6,NA,NA,24-Dec-21,205-1,NA
14582,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB150,NA,N,U,ng/g,0.449,0.0419,WG87326,NA,68194-08-1,NA,NA,24-Dec-21,205-1,NA
14583,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB151,NA,N,U,ng/g,0.455,0.108,WG87326,NA,52663-63-5,NA,NA,24-Dec-21,205-1,NA
14584,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB152,NA,N,U,ng/g,0.449,0.0419,WG87326,NA,68194-09-2,NA,NA,24-Dec-21,205-1,NA
14585,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB153,1.98,Y,NA,ng/g,0.457,0.0293,WG87326,NA,35065-27-1,NA,NA,24-Dec-21,205-1,NA
14586,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB154,NA,N,U,ng/g,0.449,0.099,WG87326,NA,60145-22-4,NA,NA,24-Dec-21,205-1,NA
14587,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB155,NA,N,U,ng/g,0.449,0.0301,WG87326,NA,33979-03-2,NA,NA,24-Dec-21,205-1,NA
14588,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB156,0.3,Y,J,ng/g,0.452,0.0252,WG87326,NA,38380-08-4,NA,NA,24-Dec-21,205-1,NA
14589,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB157,0.09,Y,J,ng/g,0.454,0.0274,WG87326,NA,69782-90-7,NA,NA,24-Dec-21,205-1,NA
14590,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB158+160,0.207,Y,C J,ng/g,0.449,0.0328,WG87326,NA,74472-42-7,NA,NA,24-Dec-21,205-1,NA
14591,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB159,0.073,Y,J,ng/g,0.449,0.0328,WG87326,NA,39635-35-3,NA,NA,24-Dec-21,205-1,NA
14592,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB161,NA,N,U,ng/g,0.449,0.0912,WG87326,NA,74472-43-8,NA,NA,24-Dec-21,205-1,NA
14593,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB162,NA,N,U,ng/g,0.449,0.0328,WG87326,NA,39635-34-2,NA,NA,24-Dec-21,205-1,NA
14594,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB165,NA,N,U,ng/g,0.449,0.0912,WG87326,NA,74472-46-1,NA,NA,24-Dec-21,205-1,NA
14595,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB166,NA,N,U,ng/g,0.449,0.0328,WG87326,NA,41411-63-6,NA,NA,24-Dec-21,205-1,NA
14596,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB167,0.092,Y,J,ng/g,0.449,0.0245,WG87326,NA,52663-72-6,NA,NA,24-Dec-21,205-1,NA
14597,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,6PCB169,NA,N,U,ng/g,0.455,0.0257,WG87326,NA,32774-16-6,NA,NA,24-Dec-21,205-1,NA
14598,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB170+190,1.04,Y,C,ng/g,0.449,0.0437,WG87326,NA,35065-30-6,NA,NA,24-Dec-21,205-1,NA
14599,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB171,0.101,Y,J,ng/g,0.449,0.0436,WG87326,NA,52663-71-5,NA,NA,24-Dec-21,205-1,NA
14600,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB172+192,0.104,Y,C J,ng/g,0.449,0.0436,WG87326,NA,52663-74-8,NA,NA,24-Dec-21,205-1,NA
14601,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB173,NA,N,U,ng/g,0.449,0.0436,WG87326,NA,68194-16-1,NA,NA,24-Dec-21,205-1,NA
14602,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB174+181,0.051,Y,C K J,ng/g,0.449,0.043,WG87326,NA,38411-25-5,NA,NA,24-Dec-21,205-1,NA
14603,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB175,NA,N,U,ng/g,0.449,0.0425,WG87326,NA,40186-70-7,NA,NA,24-Dec-21,205-1,NA
14604,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB176,NA,N,U,ng/g,0.449,0.0335,WG87326,NA,52663-65-7,NA,NA,24-Dec-21,205-1,NA
14605,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB177,0.219,Y,J,ng/g,0.449,0.043,WG87326,NA,52663-70-4,NA,NA,24-Dec-21,205-1,NA
14606,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB178,0.135,Y,J,ng/g,0.449,0.0425,WG87326,NA,52663-67-9,NA,NA,24-Dec-21,205-1,NA
14607,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB179,NA,N,U,ng/g,0.449,0.0335,WG87326,NA,52663-64-6,NA,NA,24-Dec-21,205-1,NA
14608,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB180,0.544,Y,NA,ng/g,0.454,0.0436,WG87326,NA,35065-29-3,NA,NA,24-Dec-21,205-1,NA
14609,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB182+187,1.64,Y,C,ng/g,0.901,0.0425,WG87326,NA,60145-23-5,NA,NA,24-Dec-21,205-1,NA
14610,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB183,0.225,Y,J,ng/g,0.451,0.043,WG87326,NA,52663-69-1,NA,NA,24-Dec-21,205-1,NA
14611,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB184,NA,N,U,ng/g,0.449,0.0335,WG87326,NA,74472-48-3,NA,NA,24-Dec-21,205-1,NA
14612,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB185,NA,N,U,ng/g,0.449,0.043,WG87326,NA,52712-05-7,NA,NA,24-Dec-21,205-1,NA
14613,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB186,NA,N,U,ng/g,0.449,0.0425,WG87326,NA,74472-49-4,NA,NA,24-Dec-21,205-1,NA
14614,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB188,NA,N,U,ng/g,0.454,0.0335,WG87326,NA,74487-85-7,NA,NA,24-Dec-21,205-1,NA
14615,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB189,NA,N,U,ng/g,0.455,0.0364,WG87326,NA,39635-31-9,NA,NA,24-Dec-21,205-1,NA
14616,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB191,NA,N,U,ng/g,0.449,0.0436,WG87326,NA,74472-50-7,NA,NA,24-Dec-21,205-1,NA
14617,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,7PCB193,0.191,Y,J,ng/g,0.449,0.0436,WG87326,NA,69782-91-8,NA,NA,24-Dec-21,205-1,NA
14618,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB194,0.502,Y,NA,ng/g,0.455,0.051,WG87326,NA,35694-08-7,NA,NA,24-Dec-21,205-1,NA
14619,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB195,0.399,Y,J,ng/g,0.445,0.051,WG87326,NA,52663-78-2,NA,NA,24-Dec-21,205-1,NA
14620,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB196+203,0.443,Y,C J,ng/g,0.452,0.0497,WG87326,NA,42740-50-1,NA,NA,24-Dec-21,205-1,NA
14621,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB197,NA,N,U,ng/g,0.445,0.035,WG87326,NA,33091-17-7,NA,NA,24-Dec-21,205-1,NA
14622,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB198,NA,N,U,ng/g,0.445,0.0497,WG87326,NA,68194-17-2,NA,NA,24-Dec-21,205-1,NA
14623,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB199,0.829,Y,NA,ng/g,0.445,0.0497,WG87326,NA,52663-75-9,NA,NA,24-Dec-21,205-1,NA
14624,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB200,NA,N,U,ng/g,0.445,0.035,WG87326,NA,52663-73-7,NA,NA,24-Dec-21,205-1,NA
14625,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB201,0.041,Y,J,ng/g,0.445,0.035,WG87326,NA,40186-71-8,NA,NA,24-Dec-21,205-1,NA
14626,NA,L40006-61,NA,NA,NA,NA,20231124,1308,Sample,8PCB202,0.116,Y,J,ng/g,0.445,0.0355,WG87326,NA,2136-99-4,NA,NA,24-Dec-21,205-1,NA
