ID,11Cl-PF3OUdS,3:3 FTCA,4:2 FTS,5:3 FTCA,6:2 FTS,7:3 FTCA,8:2 FTS,9Cl-PF3ONS,ADONA,EtFOSAA,HFPO-DA,HQ_HFPO-DA,MeFOSAA,N-EtFOSA,N-EtFOSE,N-MeFOSA,N-MeFOSE,NFDHA,PFBA,HQ_PFBA,PFBS,HQ_PFBS,PFDA,HQ_PFDA,PFDS,HQ_PFDS,PFDoA,HQ_PFDoA,PFDoS,PFEESA,PFHpA,HQ_PFHpA,PFHpS,PFHxA,HQ_PFHxA,PFHxS,HQ_PFHxS,PFMBA,PFMPA,PFNA,HQ_PFNA,PFNS,PFOA,HQ_PFOA,CR_PFOA,EPA_CR_PFOA,PFOS,HQ_PFOS,PFOSA,HQ_PFOSA,PFPeA,HQ_PFPeA,PFPeS,PFTeDA,HQ_PFTeDA,PFTrDA,HQ_PFTrDA,PFUnA,HQ_PFUnA,Sum_PFAS_HQ,Sum_PFAS_CR,Sum_PFAS_EPACR
205-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0.0185,0.583,0.00907,2.76,0.0429,0,0,0,0,0.21,0,0,0.114,0.00106,0,0,0.826,0.0514,0,0.185,0.0115,2.42e-9,8.97e-10,10.8,1.01,0,0,0,0,0,2.79,0.0434,2.58,0.0401,0.82,0.0128,1.2407300000000001,2.42e-9,8.97e-10
206-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.0205,0,0,0,0,0.101,0,0,0,0,0,0,0.022080000000000002,0,0
209-1,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,1.77,0,0,0,0,0,0,0,0.662,0.00824,0.208,0.00324,0.49,0.00762,0,0,0,0,0.135,0,0,0.236,0.0022,0,0,0.291,0.0181,0,0.318,0.0198,4.16e-9,1.54e-9,15.8,1.47,0.238,0.0037,0,0,0,0.468,0.00728,0.61,0.00949,0.313,0.00487,1.55454,4.16e-9,1.54e-9
209-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905,0,0,0,0,0,0,0,0.672,0.00836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.046,0,0.162,0.0101,2.12e-9,7.86e-10,2.45,0.229,0,0,0,0,0,0,0,0,0,0.097,0.00151,0.29497,2.12e-9,7.86e-10
210-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0.285,0,0,0,0,0,0,0,0,0,0,0,0.285,0,0
213-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0,0,0.145,0.0018,0,0,0,0,0,0,0.077,6.25e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.0132,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0
216-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0.00784,0,0,0,0,0,0,0,0,0,0,0,0.00784,0,0
219-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.00622,0.085,0.00132,0.312,0.00485,0,0,0,0,0,0,0,0.176,0.00164,0,0,0.337,0.021,0,0.103,0.00641,1.35e-9,5e-10,3.09,0.288,0.102,0.00159,0,0,0,0.232,0.00361,0.379,0.0059,0.349,0.00543,0.34597,1.35e-9,5e-10
998-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0.00529,0,0,0.166,0.00258,0,0,0,0,0,0,0,0,0,0,0,0.662,0.0412,0,0,0,0,0,1.05,0.098,0,0,0,0,0,0,0,0.257,0.004,0.28200000000000003,0.00439,0.15546000000000001,0,0
999-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0.757,0.00942,0.617,0.0096,2.1,0.0327,0,0,0,0,0.166,0,0,0.111,0.00104,0,0,0.47,0.0292,0,0.185,0.0115,2.42e-9,8.97e-10,8.18,0.764,0,0,0,0,0,2.43,0.0378,1.93,0.03,0.574,0.00893,0.93419,2.42e-9,8.97e-10
CTABD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.00351,0,0,0.2,0.00311,0,0,0,0,0,0,0,0.097,9.05e-4,0,0,0.579,0.036,0,0,0,0,0,2.83,0.264,0,0,0,0,0,0.125,0.00194,0.219,0.00341,0.08099999999999999,0.00126,0.314135,0,0
