TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,HFPO-DA,NA,N,U,ng/g,1.5,0.394,WG87235,NA,122499-17-6,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,ADONA,NA,N,U,ng/g,1.58,0.394,WG87235,NA,2127366-90-7,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,9Cl-PF3ONS,NA,N,U,ng/g,1.58,0.395,WG87235,NA,1621485-21-9,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,11Cl-PF3OUdS,NA,N,U,ng/g,1.58,0.395,WG87235,NA,2196242-82-5,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,3:3 FTCA,NA,N,U H,ng/g,1.58,0.394,WG87235,NA,1169706-83-5,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,5:3 FTCA,NA,N,U,ng/g,9.85,2.46,WG87235,NA,1799325-94-2,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,7:3 FTCA,NA,N,U,ng/g,9.85,2.46,WG87235,NA,1799325-95-3,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFEESA,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,220689-13-4,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFMPA,NA,N,U,ng/g,0.788,0.197,WG87235,NA,NA,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFMBA,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,1432017-36-1,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,NFDHA,NA,N,U H,ng/g,1.73,0.197,WG87235,NA,39187-41-2,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231012,0800,Sample,% Moisture,67.7,Y,NA,%,NA,NA,WG87235,NA,NA,NA,NA,19-Oct-21,1,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFBA,NA,N,U,ng/g,1.58,0.396,WG87235,NA,45048-62-2,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFPeA,NA,N,U,ng/g,0.792,0.198,WG87235,NA,45167-47-3,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFHxA,NA,N,U,ng/g,0.396,0.099,WG87235,NA,92612-52-7,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFHpA,NA,N,U,ng/g,0.396,0.099,WG87235,NA,120885-29-2,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFOA,NA,N,U,ng/g,0.396,0.099,WG87235,NA,45285-51-6,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFNA,0.175,Y,J,ng/g,0.396,0.099,WG87235,NA,72007-68-2,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFDA,0.166,Y,J,ng/g,0.396,0.099,WG87235,NA,73829-36-4,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFUnA,0.253,Y,B J,ng/g,0.396,0.099,WG87235,NA,196859-54-8,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFDoA,NA,N,U,ng/g,0.396,0.0792,WG87235,NA,171978-95-3,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFTrDA,NA,N,U,ng/g,0.396,0.099,WG87235,NA,862374-87-6,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFTeDA,NA,N,U,ng/g,0.396,0.099,WG87235,NA,365971-87-5,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFBS,NA,N,U,ng/g,0.396,0.099,WG87235,NA,45187-15-3,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFPeS,NA,N,U,ng/g,0.396,0.0995,WG87235,NA,175905-36-9,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFHxS,NA,N,U,ng/g,0.396,0.099,WG87235,NA,108427-53-8,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFHpS,NA,N,U,ng/g,0.396,0.099,WG87235,NA,146689-46-5,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFOS,0.205,Y,K J,ng/g,0.396,0.099,WG87235,NA,45298-90-6,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFNS,NA,N,U,ng/g,0.396,0.099,WG87235,NA,474511-07-4,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231024,2001,Sample,PFDS,NA,N,U,ng/g,0.396,0.099,WG87235,NA,126105-34-8,NA,NA,21-Oct-21,2,NA
